id,title,description,link,image_link,availability,price,condition,brand
prod_01KNJJ61HK1SS8XHCZTQ8YGK03,Cantilever Chair,"Descubre la cantilever chair, un tributo a la arquitectura moderna y el diseño de vanguardia. Su estructura en voladizo desafía la gravedad, ofreciendo una sensación de suspensión y ligereza visual inigualable.",https://www.mistdesignco.com/cantilever-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/f29e822b-47ea-4556-b839-61c695e98789.png,in stock,1090000.00 COP,new,Mist Design
prod_01KNJHB8E62RPZZR12PDAT5084,Casina Chair,"Descubre la Casina Chair, una pieza única que desafía el diseño convencional. Con su estructura arquitectónica y estética vanguardista, ofrece una experiencia de descanso envolvente y excepcional.",https://www.mistdesignco.com/casina-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/1edd457a-5f22-495b-af46-7c7a443b2584.png,in stock,1815000.00 COP,new,Mist Design
prod_01KJ39Q0CZ3VZEEWB420XB2FFC,Chaise curvy Sofa,"Descubre nuestro sofá cómodo y disruptivo que combina la comodidad de un sofá con la versatilidad de una poltrona extendida. Su forma ergonómica asegura una postura relajada, ideal para cualquier espacio.",https://www.mistdesignco.com/sofa-comodo-chaise-curvy-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/688db957-b2a6-42f6-97a7-18610f8237c9.png,in stock,3290000.00 COP,new,Mist Design
prod_01KJ39Q0CPZ986RSVQWGD2YGFG,Chaise Lounge,"Descubre sillas modernas de autor con respaldo asimétrico y elegante caída, ideal para salas y habitaciones principales, Tapizada en telas de alta resistencia.",https://www.mistdesignco.com/sillas-modernas-chaise-lounge,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/4eb0989e-c0bd-4220-90ee-89ab30293985.png,in stock,3520000.00 COP,new,Mist Design
prod_01KTSJ9S0845EXH1NBQFCG3RBG,Comedor de Exterior Lounge,Descubre cómo el comedor de exterior lounge transforma tu espacio al aire libre en un lugar ideal para disfrutar con estilo mid-century.,https://www.mistdesignco.com/comedor-de-exterior-lounge,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/68210eb1-e21f-41d8-ac97-5e6c3147737b.png,in stock,6020000.00 COP,new,Mist Design
prod_01KTSCTD22H9TJTWF2T2H6BA7R,Comedor Lounge Mist,Comedor Lounge Mist – Colección Mid Century Outdoor. Expande el universo de nuestra colección exterior hacia el confort absoluto.,https://www.mistdesignco.com/comedor-lounge-mist-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/93c1e20b-44b9-4e56-a684-d6179de07c5c.png,in stock,8560000.00 COP,new,Mist Design
prod_01KTSJ398P4X2YEWFQ48B1WBDT,Comedor Redondo Lounge,"Descubre el comedor redondo lounge, la solución perfecta para transformar tus espacios exteriores con un diseño curvo y equilibrado.",https://www.mistdesignco.com/comedor-redondo-lounge-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/971358af-5078-45bc-a3c6-7aeef0c7f638.png,in stock,6020000.00 COP,new,Mist Design
prod_01KNQEVGV88B67TAKG1FN3HWTH,Concha Chair,"Descubre la Concha Chair, una poltrona que rinde homenaje a la sofisticación del diseño mid-century. Con su respaldo acanalado, ofrece confort y estilo.",https://www.mistdesignco.com/concha-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/77d5b337-a975-4182-940f-a5f4a62344ce.png,in stock,3680000.00 COP,new,Mist Design
prod_01KMJXVT3J7Z05K1Y17E5YFVDF,Conquer Sofa,Descubre el sofá contemporáneo y cómodo que combina confort y estilo acogedor. Con brazos anchos y cojinería mullida.,https://www.mistdesignco.com/sofa-contemporaneo-oconquer-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/f04fb2d5-dede-49fe-a732-d83deb896a26.png,in stock,4032000.00 COP,new,Mist Design
prod_01KJ39Q0CAX483T0F42WPRAMFZ,Curvy Sofa,Descubre este sofá que combina curvas suaves y comodidad envolvente. Su diseño sin ángulos rectos y tapizado de alta gama hacen de este mueble una pieza esencial.,https://www.mistdesignco.com/curvy-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/23b3b7a1-31ca-4523-bde9-155a4df9f7fa.png,in stock,3520000.00 COP,new,Mist Design
prod_01KNJPFDJXG0WBC7Z93YY9KCF4,Deco Lamp,"Descubre la deco lamp, una luminaria de piso que combina verticalidad y elegancia, inspirada en el diseño clásico.",https://www.mistdesignco.com/deco-lamp,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/99054a87-3c26-4207-9181-8eac9bb98c20.png,in stock,1235000.00 COP,new,Mist Design
prod_01KNJPK9AHTP55WTRTPR48ZTV4,Disco Lamp,"Descubre la disco lamp, una pieza de diseño disruptivo que desafía lo convencional en salas de estar y estudios.",https://www.mistdesignco.com/disco-lamp-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/4d1df6e0-cda1-4d2f-b1d8-13adc2ccc650.png,in stock,1128000.00 COP,new,Mist Design
prod_01KNJP71R63C0FGPX2A2X3S6GH,Ecrú Lamp,"Descubre la ecrú lamp, una pieza de acento que fusiona el minimalismo escultórico con la suavidad de la luz difusa.",https://www.mistdesignco.com/ecru-lamp,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/d468a252-0b5a-40f8-9c1d-3035bae351b7.png,in stock,432000.00 COP,new,Mist Design
prod_01KJ39Q0TGYM31ZSCGRZNBQW8Z,Edgy Chair,"Descubre un diseño limpio en madera con formas redondeadas en tono crema, ideal para crear ambientes de inspiración zen o minimalista.",https://www.mistdesignco.com/edgy-chair-madera,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9ce5a72f-6418-4ef4-b408-5ef4e66a0ec8.png,in stock,2120000.00 COP,new,Mist Design
prod_01KJ40YTC9W79Z9XNZ8YBEFAYV,Float Table,"Descubre nuestra mesa de vidrio y madera, diseñada para aportar ligereza visual y calidez a tu hogar.",https://www.mistdesignco.com/float-table-mesa-de-vidrio,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/5773c3c7-3465-447a-b931-3992873f1b04.png,in stock,1120000.00 COP,new,Mist Design
prod_01KJ39Q0TPDWJJNERDYYAK4HRX,Floyd chair,Descubre la poltrona cilíndrica envolvente con base de madera vista. Su diseño compacto optimiza el espacio.,https://www.mistdesignco.com/poltrona-cilindrica-floyd-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/b6682230-97a7-4c26-b678-4eafe22781a9.png,in stock,2065000.00 COP,new,Mist Design
prod_01KWW8VJHYNAQPBKPRJ6VFWX5R,Helo Table,"Descubre la mesa auxiliar Helo table, una obra maestra de diseño que combina cristal dicroico y reflejos dinámicos.",https://www.mistdesignco.com/tienda-mesas-helo-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/65611233-7124-49bb-8f55-d94c04ab8af4.png,in stock,1380000.00 COP,new,Mist Design
prod_01KNJPTQE9BWK5QJ0KN3TQ51X2,June Lamp,"Descubre la June Lamp, una lámpara de comedor que redefine la iluminación de techo con sus audaces curvas orgánicas.",https://www.mistdesignco.com/june-lamp,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/dab3094f-f199-47f1-bf64-191fb07857f0.png,in stock,1580000.00 COP,new,Mist Design
prod_01KMJXVT3C4BSMY73S2YH0WJE0,Lily Sofa,"Descubre nuestro sofá de diseño atemporal, con estructura lineal y base cerrada que aporta elegancia y solidez.",https://www.mistdesignco.com/lily-sofa-de-diseno,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/200a9a5f-e0fe-442d-ad7e-d255c68d496f.png,in stock,3940000.00 COP,new,Mist Design
prod_01KNJGC0R5AWQ1S1WFE5CS9WCR,Litmus Table,"Descubre la Litmus Table, una pieza de mobiliario contemporáneo que redefine el diseño con su silueta vanguardista.",https://www.mistdesignco.com/litmus-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/8a13c055-acd8-4da0-af86-d44f724c33e4.png,in stock,3820000.00 COP,new,Mist Design
prod_01KJ39Q0D7MZADBZXP6TD3EH9K,Lounge Waves,Descubre nuestro sofá modular inspirado en el movimiento de las olas. Con un diseño bajo y costura contrastada.,https://www.mistdesignco.com/lounge-waves-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/c47288d4-d47f-4bfe-9c96-3fb1b67968f0.png,in stock,3660000.00 COP,new,Mist Design
prod_01KJ39Q0JM7QHZFVVCJ2JTFB3R,Loungy Chair,Descubre la fusión perfecta entre el diseño de mediados de siglo y la modernidad. Con estructura de hierro.,https://www.mistdesignco.com/diseno-de-mediados-de-siglo-loungy-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/69f58e53-6887-4a0a-9185-5d1daebba5aa.png,in stock,1245000.00 COP,new,Mist Design
prod_01KTSSKS1SKTCSK0ZMKQ64D7KJ,Mesa auxiliar con Ruedas,"Descubre la mesa auxiliar lounge, una pieza versátil y funcional con diseño mid-century modern.",https://www.mistdesignco.com/tienda-comedor-mesa-auxiliar,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ffe98b0f-9ede-4f13-bde3-9a9c1677c0eb.png,in stock,1100000.00 COP,new,Mist Design
prod_01KMJR7ZN8S39TNGTV6X9EPJG0,Mesa Refugio Mist,Descubre nuestra mesa auxiliar híbrida que también sirve como refugio privado para mascotas.,https://www.mistdesignco.com/mesa-auxiliar-mascotas,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/7da7df4b-a215-439a-8bbf-51d6a9d92f0f.png,in stock,1160000.00 COP,new,Mist Design
prod_01KNJH13TCG5KVVNVQWR2TKWK4,Midie Table,"Descubre elegantes mesas de comedor, la Midie Table, que combina la estética mid-century con la calidez de la madera noble.",https://www.mistdesignco.com/mesas-de-comedor-midie-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ef1f666b-c984-43c0-b403-9e69edbb11a3.png,in stock,2860000.00 COP,new,Mist Design
prod_01KMJXVT3QH2D0SG8NXY2QRQW3,Modular Chaise,"Descubre el chaise modular, el complemento ideal para configuraciones personalizadas con acabados de alta costura.",https://www.mistdesignco.com/chaise-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9489f52b-fd91-4ae5-a275-500cddc6cd39.png,in stock,4306000.00 COP,new,Mist Design
prod_01KMJR7ZNTPXYS7K99SQJXP8BG,Modular Mini,Descubre nuestro sistema de descanso para gatos y perros de razas pequeñas. Estilo minimalista y comodidad garantizada.,https://www.mistdesignco.com/sistema-de-descanso-para-gatos-modular-mini,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/21c15f74-1903-4524-a9d5-30c0013482dc.png,in stock,1812000.00 COP,new,Mist Design
prod_01KMJXVT363C9DF00G4K1YKTD6,Muse Sofa,Descubre muebles minimalistas nuestra pieza escultórica con líneas orgánicas y curvas fluidas.,https://www.mistdesignco.com/muebles-minimalistas-muse-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/8bfeafb4-2bed-4c3d-b85f-0d790fafcb03.png,in stock,4554000.00 COP,new,Mist Design
prod_01KNJAK6SMKTM19PX1QCDPSS23,Oak Marmol,"Descubre la mesa de centro Oak Marmol, una obra de arte que combina la calidez de la madera maciza de flor morado con la piedra natural.",https://www.mistdesignco.com/oak-marmol-madera-maciza,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/53a79b89-31fc-416d-b035-6eac6b8cd9cf.png,in stock,1817000.00 COP,new,Mist Design
prod_01KNJB5PG3W68TDQAQRJM1YBKS,Oak wood,"Descubre la mesa de roble, Oak wood una pieza que combina calidez orgánica y pureza geométrica.",https://www.mistdesignco.com/oak-wood,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/312bd72b-d9e7-4360-a403-c31eaf4450a9.png,in stock,1020000.00 COP,new,Mist Design
prod_01M0VKDTVGV5RV2H6HXZNB61JY,Ochre Table,"Descubre la ochre table, una mesa auxiliar que redefine el estilo y la funcionalidad en el interiorismo contemporáneo.",https://www.mistdesignco.com/tienda-sala-ochre-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/2dd8a6bf-65cb-4c09-a068-ed1e7c7cfbf1.png,in stock,620000.00 COP,new,Mist Design
prod_01KJ39Q0JC228206X1JRRF5FH9,Peace Sofa,Descubre un sofá cama diferente que combina estética y utilidad. Ideal para optimizar el espacio en apartamentos modernos.,https://www.mistdesignco.com/peace-sofa-cama,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/28a0674c-d6b9-4b54-9ba5-b2a375a0e61e.png,in stock,3980000.00 COP,new,Mist Design
prod_01KJ40RDA1QFCX67PNCW7A1D1A,Pedestable,Descubre nuestro mueble decorativo que actúa como un tótem escultórico con un diseño geométrico en madera.,https://www.mistdesignco.com/mueble-decorativo-pedestable,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/22a642d4-31e4-4f03-8925-b4bf003c9057.png,in stock,820000.00 COP,new,Mist Design
prod_01KNMG3KV2WZDW3N3ZADDK3M6M,Pillow Hug,"Descubre Pillow Hug, un cojín que va más allá de la decoración textil con un diseño surrealista.",https://www.mistdesignco.com/pillow-hug,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/396fc695-5e2b-45c2-960f-564c498338ee.png,in stock,210000.00 COP,new,Mist Design
prod_01KNMG9DCBXZ8FCY10GYBTB8G3,Pillow Party,"Descubre la Pillow Party, una colección de cojines de autor que transforma tus espacios con una explosión de formas y texturas.",https://www.mistdesignco.com/pillow-party,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ba41e858-bc43-4c79-9852-1634d3b70dc8.png,in stock,420000.00 COP,new,Mist Design
prod_01KJ39Q0ZCNF8PHMZ8A1QR1MRR,Pine Wood Table,Descubre la mesa de centro perfecta para tu sala de estar con base geométrica cónica.,https://www.mistdesignco.com/mesa-de-centro-conica,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/996bef93-cd38-468a-9a2b-5fda9dca4347.png,in stock,1120000.00 COP,new,Mist Design
prod_01KJ39Q0J3GH4058CWP8GJRZBQ,Pit Sofa,"Descubre nuestro sofá modular de gran escala, diseñado para quienes valoran el espacio y la comodidad.",https://www.mistdesignco.com/pit-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/66c23ac6-da2e-46e7-8d1c-4017fd34b0fb.png,in stock,5510000.00 COP,new,Mist Design
prod_01KTST7PWHRPDT8J051GQJ4TF7,Poltrona lounge,"Descubre la poltrona lounge perfecta para tus ambientes exteriores, combinando comodidad y estilo mid century.",https://www.mistdesignco.com/poltrona-lounge-para-ambientes-exteriores,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/de64d8e9-5319-46bf-8c27-d8bf93b55818.png,in stock,1710000.00 COP,new,Mist Design
prod_01KN3S6ABW85E33H6WW6RPVWVP,Rainbow Table,"Descubre la Rainbow Table, la pieza central perfecta que combina diseño artístico y funcionalidad con esferas multicolores.",https://www.mistdesignco.com/rainbow-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/3f34e4e3-fe25-4b48-b1a1-49d8ab38934b.png,in stock,3680000.00 COP,new,Mist Design
prod_01KMM96C6DW7YQMAVNYTXRZ2BX,Retro Chair,La Retro Chair es la pieza definitiva para quienes buscan un equilibrio perfecto entre estética moderna y comodidad excepcional.,https://www.mistdesignco.com/retro-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9adf9b24-ab3d-42e6-b471-7c6707190ea8.png,in stock,2080000.00 COP,new,Mist Design
prod_01KJ39Q0ZJCNS49HGQN3CH2A4W,Retro Mirror,Descubre cómo este espejo de gran formato se convierte en una pieza arquitectónica esencial para tus accesorios de decoración.,https://www.mistdesignco.com/espejo-de-gran-formato,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/b8b188fc-f9fd-421c-ba72-ada13b294ada.png,in stock,1270000.00 COP,new,Mist Design
prod_01KJ419KYVT66R2V8MDX9M4G5R,Retro Table,Descubre una pieza única Retro Table que combina el diseño industrial clásico con un toque contemporáneo y vidrio ahumado.,https://www.mistdesignco.com/retro-table-diseno-industrial,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/6be6313b-8850-4ad6-8760-ec064b4c9d6d.png,in stock,1567000.00 COP,new,Mist Design
prod_01KJ5PQ5APKJK8P9SZ88AM9XRB,Retro Waves Table,La estructura de esta mesa está definida por líneas sinuosas de hierro que fluyen de manera continua.,https://www.mistdesignco.com/retro-waves-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/bff9e46c-ffac-4b18-8c3a-f70152fdf2dc.png,in stock,1510000.00 COP,new,Mist Design
prod_01KJ40WY82RSMWZ18K1DQHNNWV,Revee Table,Descubre cómo este mueble geométrico redefine la sala de estar con su diseño abierto y líneas arquitectónicas.,https://www.mistdesignco.com/sala-de-estar-revee-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/fc23a4ad-efec-49f3-90f8-d5018b4d4b4b.png,in stock,1155000.00 COP,new,Mist Design
prod_01KJ39Q0YZ0BDEM7E65A5H88FM,Runa Table,Esta pieza minimalista mesa auxiliar conica sólida y una superficie circular de bordes suavizados en madera natural.,https://www.mistdesignco.com/mesa-auxiliar-conica,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/7b337a0c-18af-4634-aeb8-ad100b77bf18.png,in stock,1690000.00 COP,new,Mist Design
prod_01KTSH1QABERNFH2GNVERFD4HP,Sala Lounge Mist,Descubre cómo la sala lounge combina sofisticación y confort en espacios de exterior con un diseño mid-century modern.,https://www.mistdesignco.com/sala-lounge,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/cb41fe47-da29-4a32-a75e-0f789999f4c1.png,in stock,8010000.00 COP,new,Mist Design
prod_01KJ39Q0DFQZ14M51WZTCCSK6S,Sectional Sofa,Descubre la solución definitiva para espacios dinámicos con nuestro sofá modular versátil y funcional.,https://www.mistdesignco.com/sectional-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/f90335af-eda1-4425-8f62-2bfdcf582a6b.png,in stock,5170000.00 COP,new,Mist Design
prod_01M23DMYC4YDZ2RM5WKAKZQXWY,Sofá 2 Puestos Lounge,"Descubre el sofá 2 puestos lounge mist, ideal para zonas lounge y exteriores con diseño mid-century modern.",https://www.mistdesignco.com/sofa-2-puestos-lounge,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ce6a96a8-c7f4-42d9-935a-bd4411944f12.png,in stock,3140000.00 COP,new,Mist Design
prod_01KNJ9WHMGDQJH5F235KGPHW7F,Solo Mármol,"Descubre la mesa de mármol auxiliar de diseño en mármol, una fusión de elegancia orgánica y diseño contemporáneo.",https://www.mistdesignco.com/mesa-de-marmol,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/85ecff17-9f4a-4f85-ab3e-23aef9a0c937.png,in stock,560000.00 COP,new,Mist Design
prod_01KN7J22RXQMVGGRZEH8TWBG4R,Solo Table,"Descubre la Solo Table, un tótem decorativo que transforma la madera en una obra de arte geométrica y sólida.",https://www.mistdesignco.com/solo-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/a9cf7de1-b13e-47ef-af19-0d76119cb867.png,in stock,355000.00 COP,new,Mist Design
prod_01KJ5PGEMXT95PNJDW8FB7KHMJ,Studio 54 Table,Descubre esta pieza que rinde homenaje al glamour años 60 con estructura de hierro y acabado cromado.,https://www.mistdesignco.com/studio-54-table-glamour-anos-60,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ff01c349-ead3-4f2f-a866-2c887eaaab2d.png,in stock,1395000.00 COP,new,Mist Design
