title,id,price,estado,disponibilidad,canal,etiqueta de feed,idioma,description,link,image_link,envío(país envío),rating average,rating count,todos los clics,update type
Floyd chair,7464745850422801617,2065000.00 COP,nuevo,en stock,online,CO,es,"Descubre la poltrona cilíndrica envolvente con base de madera vista. Su diseño compacto optimiza el espacio sin sacrificar elegancia, ideal para salas de espera y rincones de lectura.",https://www.mistdesignco.com/poltrona-cilindrica-floyd-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/b6682230-97a7-4c26-b678-4eafe22781a9.png,CO,,,0,merge
Helo Table,6303384606746489777,,nuevo,en stock,online,CO,es,"Helo Table | Reflejos Dinámicos y Vanguardia GeométricaLa Helo Table es una celebración de la simplicidad sofisticada a través de la luz. Diseñada íntegramente en cristal dicroico, esta mesa auxiliar destaca por su estructura equilibrada y su silueta de líneas puras. Es la pieza perfecta para qui…",https://www.mistdesignco.com/helo-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/65611233-7124-49bb-8f55-d94c04ab8af4.png,CO,,,1,merge
Concha Chair,5460106233567458277,3680000.00 COP,nuevo,en stock,online,CO,es,"Descubre la Concha Chair, una poltrona que rinde homenaje a la sofisticación del diseño mid-century. Con su respaldo acanalado, ofrece confort y estilo, convirtiéndola en una pieza clave para cualquier espacio elegante.",https://www.mistdesignco.com/concha-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/77d5b337-a975-4182-940f-a5f4a62344ce.png,CO,,,0,merge
Pit Sofa,16216638798267077670,5510000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestro sofá modular de gran escala, diseñado para quienes valoran el espacio y la comodidad. Ideal para interacciones sociales relajadas, cuenta con brazos anchos y una estructura reforzada, perfecto para cualquier ambiente.",https://www.mistdesignco.com/pit-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/66c23ac6-da2e-46e7-8d1c-4017fd34b0fb.png,CO,,,1,
Solo Mármol,11922167440106642030,560000.00 COP,nuevo,en stock,online,CO,es,"Descubre la mesa de mármol auxiliar de diseño en mármol, una fusión de elegancia orgánica y diseño contemporáneo. Ideal para cualquier espacio, su estilo geométrico y sólido la convierte en una pieza única y sofisticada.",https://www.mistdesignco.com/mesa-de-marmol,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/85ecff17-9f4a-4f85-ab3e-23aef9a0c937.png,CO,,,1,merge
Pillow Hug,12372661919596486990,210000.00 COP,nuevo,en stock,online,CO,es,"Descubre Pillow Hug, un cojín que va más allá de la decoración textil. Con un diseño surrealista inspirado en la forma humana, este arte objeto redefine tu espacio. Ideal para quienes buscan piezas únicas y con carácter.",https://www.mistdesignco.com/pillow-hug,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/396fc695-5e2b-45c2-960f-564c498338ee.png,CO,,,2,merge
Runa Table,9576344378002695309,1690000.00 COP,nuevo,en stock,online,CO,es,"Esta pieza minimalista mesa auxiliar conica sólida y una superficie circular de bordes suavizados. Fabricada en madera natural seleccionada, su diseño compacto es ideal para espacios reducidos o como complemento lateral de poltronas de gran volumen. Aporta un equilibrio visual perfecto.",https://www.mistdesignco.com/mesa-auxiliar-conica,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/7b337a0c-18af-4634-aeb8-ad100b77bf18.png,CO,,,0,merge
WildChair,8296548448941650773,2100000.00 COP,nuevo,en stock,online,CO,es,"Descubre la Wildchair, un sillón moderno que combina elegancia y confort. Con un vibrante tapizado de leopardo, es la pieza perfecta para realzar la decoración de interiores y aportar personalidad a tu hogar. Ideal para quienes buscan audacia y sofisticación.",https://www.mistdesignco.com/wildchair-sillon-moderno,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/002a6bb3-b2c8-4868-8bd7-254e3f49e1f8.png,CO,,,2,merge
Litmus Table,15249359654224987687,3820000.00 COP,nuevo,en stock,online,CO,es,"Descubre la Litmus Table, una pieza de mobiliario contemporáneo que redefine el diseño con su silueta vanguardista y fascinante iridiscencia. Ideal para ser el centro de atención en cualquier espacio.",https://www.mistdesignco.com/litmus-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/8a13c055-acd8-4da0-af86-d44f724c33e4.png,CO,,,0,merge
Mesa Refugio Mist,15738268184147382754,1160000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestra mesa auxiliar híbrida que también sirve como refugio privado para mascotas. Fabricada artesanalmente en madera de pino con acabados naturales, ofrece un espacio seguro y cálido para el descanso de tu mascota, integrándose perfectamente en tu decoración.",https://www.mistdesignco.com/mesa-auxiliar-mascotas,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/7da7df4b-a215-439a-8bbf-51d6a9d92f0f.png,CO,,,2,merge
Belli Chair,17790146959794715391,3555000.00 COP,nuevo,en stock,online,CO,es,"Descubre la poltrona robusta de alto impacto visual, ideal para zonas de descanso. Incluye cojines cilíndricos y esféricos, ofreciendo confort y un diseño modular que invita al relax total.",https://www.mistdesignco.com/poltrona-robusta-belli-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/17efe3a6-2632-49b4-844d-353d179af0c8.png,CO,,,0,merge
Walnut Table,11582390420281271460,1120000.00 COP,nuevo,en stock,online,CO,es,"Descubre mesas de madera únicas que celebran la imperfección de la naturaleza. Con bordes irregulares y un acabado artesanal, cada pieza es un diseño de muebles exclusivo que resalta la belleza natural de la madera.",https://www.mistdesignco.com/mesas-de-madera-unicas,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/7df9bd5a-d133-4593-b8bc-8129efa3cedc.png,CO,,,1,merge
Float Table,9124020137279740259,1120000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestra mesa de vidrio y madera, diseñada para aportar ligereza visual y calidez a tu hogar. Su estructura flotante permite apreciar la artesanía, convirtiéndola en un objeto de diseño funcional y atractivo.",https://www.mistdesignco.com/float-table-mesa-de-vidrio,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/5773c3c7-3465-447a-b931-3992873f1b04.png,CO,,,0,merge
Casina Chair,9119299908498183998,1815000.00 COP,nuevo,en stock,online,CO,es,"Descubre la Casina Chair, una pieza única que desafía el diseño convencional. Con su estructura arquitectónica y estética vanguardista, ofrece una experiencia de descanso envolvente y excepcional. Ideal para quienes buscan confort y estilo en su hogar.",https://www.mistdesignco.com/casina-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/1edd457a-5f22-495b-af46-7c7a443b2584.png,CO,,,0,merge
Edgy Chair,10366231093518790221,2120000.00 COP,nuevo,en stock,online,CO,es,"Descubre un diseño limpio en madera con formas redondeadas en tono crema, ideal para crear ambientes de inspiración zen o minimalista. Resalta la calidad de los materiales y crea una atmósfera de paz y estilo.",https://www.mistdesignco.com/edgy-chair-madera,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9ce5a72f-6418-4ef4-b408-5ef4e66a0ec8.png,CO,,,2,merge
Lily Sofa,7268530277552402794,3940000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestro sofá de diseño atemporal, con estructura lineal y base cerrada que aporta elegancia y solidez. Ideal para espacios íntimos, sus cojines de alta densidad ofrecen un soporte firme y duradero. Medidas: 1.80m x 0.90m x 0.70m.",https://www.mistdesignco.com/lily-sofa-de-diseno,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/200a9a5f-e0fe-442d-ad7e-d255c68d496f.png,CO,,,4,merge
Rainbow Table,8674172308981248420,3680000.00 COP,nuevo,en stock,online,CO,es,"Descubre la Rainbow Table, la pieza central perfecta que combina diseño artístico y funcionalidad. Su silueta minimalista y esferas multicolores transforman tu comedor en una galería de estilo contemporáneo. Ideal para quienes buscan elegancia y originalidad.",https://www.mistdesignco.com/rainbow-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/3f34e4e3-fe25-4b48-b1a1-49d8ab38934b.png,CO,,,1,merge
Studio 54 Table,1738931669692692431,1395000.00 COP,nuevo,en stock,online,CO,es,"Descubre esta pieza que rinde homenaje al glamour años 60 y la vanguardia artística de los años 60. Con un diseño cuadrado de perfil bajo y estructura de hierro con acabado cromado, captura la energía de una época icónica en cada detalle.",https://www.mistdesignco.com/studio-54-table-glamour-anos-60,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ff01c349-ead3-4f2f-a866-2c887eaaab2d.png,CO,,,2,merge
Chaise Lounge,14988075121586938210,3520000.00 COP,nuevo,en stock,online,CO,es,"Descubre sillas modernas de autor con respaldo asimétrico y elegante caída, ideal para salas y habitaciones principales, Tapizada en telas de alta resistencia",https://www.mistdesignco.com/sillas-modernas-chaise-lounge,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/4eb0989e-c0bd-4220-90ee-89ab30293985.png,CO,,,5,merge
Bulbs Lamp,2317489817536036549,2010000.00 COP,nuevo,en stock,online,CO,es,"Descubre Bulbs Lamp, la máxima expresión de iluminación de autor. Esta lámpara de suspensión, con su sistema circular de cinco esferas entrelazadas, crea una atmósfera envolvente y lujosa, iluminando todos los rincones de tu espacio.",https://www.mistdesignco.com/bulbs-lamp-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/882e44b4-8b19-415c-81e5-c865f7a22603.png,CO,,,2,merge
Cama Nido Orbit,14025092253603234787,1322000.00 COP,nuevo,en stock,online,CO,es,"Descubre la evolución del modelo nido tradicional, diseñado con un borde elevado perimetral que ofrece mayor protección a tu mascota. Fabricado en madera de pino con cojines hipoalergénicos, asegurando confort y estilo con acabados artesanales de alta calidad.",https://www.mistdesignco.com/modelo-nido-tradicional,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/c9f3e1af-3132-4235-8e00-483a919a9223.png,CO,,,1,merge
Retro Table,10032220258779654474,1567000.00 COP,nuevo,en stock,online,CO,es,"Descubre una pieza única Retro Table que combina el diseño industrial clásico con un toque contemporáneo. Su estructura de doble nivel y superficies de vidrio ahumado ofrecen funcionalidad y amplitud, ideal para organizar elementos decorativos sin sacrificar la ligereza del espacio.",https://www.mistdesignco.com/retro-table-diseno-industrial,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/6be6313b-8850-4ad6-8760-ec064b4c9d6d.png,CO,,,0,merge
Sectional Sofa,4436344484441429704,5170000.00 COP,nuevo,en stock,online,CO,es,"Descubre la solución definitiva para espacios dinámicos con nuestro sofá modular. Diseñado para adaptarse a tus necesidades, su estructura robusta ofrece versatilidad y funcionalidad en tu hogar u oficina.",https://www.mistdesignco.com/sectional-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/f90335af-eda1-4425-8f62-2bfdcf582a6b.png,CO,,,0,merge
Bellini Sofa,7372215073844828964,8680000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestro icónico sofá modular con diseño capitoné profundo, que redefine el confort de lujo. Su estructura versátil se adapta a diversos espacios, combinando estética arquitectónica y sofisticación, tapizado en textiles de alta resistencia. Ideal para tu hogar.",https://www.mistdesignco.com/bellini-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9677c145-cc41-4320-b191-97581be790d4.png,CO,,,0,merge
Peace Sofa,15157063605476754322,3980000.00 COP,nuevo,en stock,online,CO,es,"Descubre un sofá cama diferente que combina estética y utilidad. Su diseño funcional y elegante es ideal para optimizar el espacio en apartamentos modernos, brindando comodidad y estilo en segundos.",https://www.mistdesignco.com/peace-sofa-cama,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/28a0674c-d6b9-4b54-9ba5-b2a375a0e61e.png,CO,,,5,merge
Conquer Sofa,2924551178464749484,4032000.00 COP,nuevo,en stock,online,CO,es,"Descubre el sofá contemporáneo y cómodo que combina confort y estilo acogedor. Con brazos anchos y cojinería mullida, este sofá robusto es ideal para quienes buscan durabilidad y una estética contemporánea en su decoración interior.",https://www.mistdesignco.com/sofa-contemporaneo-oconquer-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/f04fb2d5-dede-49fe-a732-d83deb896a26.png,CO,5.0,1.0,3,merge
Pillow Party,2616945418492055310,420000.00 COP,nuevo,en stock,online,CO,es,"Descubre la Pillow Party, una colección de cojines de autor que transforma tus espacios con una explosión de formas y texturas. Invita a la creatividad y al confort lúdico, creando un ambiente acogedor y original. ¡Explora nuestra variedad de siluetas orgánicas y nudos únicos!",https://www.mistdesignco.com/pillow-party,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/ba41e858-bc43-4c79-9852-1634d3b70dc8.png,CO,,,0,merge
Revee Table,8865975025109742926,1155000.00 COP,nuevo,en stock,online,CO,es,"Descubre cómo este mueble geométrico redefine la sala de estar con su diseño abierto y líneas arquitectónicas. Ideal para quienes buscan una pieza robusta que combine estética y funcionalidad, permitiendo que la luz fluya en el espacio.",https://www.mistdesignco.com/sala-de-estar-revee-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/fc23a4ad-efec-49f3-90f8-d5018b4d4b4b.png,CO,,,2,merge
Modular Mini,2271972590076592204,1812000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestro sistema de descanso para gatos, diseñado especialmente para gatos y perros de razas pequeñas. Con una estructura modular ligera en madera seleccionada y una colchoneta ergonómica, es perfecto para cualquier rincón de tu hogar. Estilo minimalista y comodidad garantizada.",https://www.mistdesignco.com/sistema-de-descanso-para-gatos-modular-mini,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/21c15f74-1903-4524-a9d5-30c0013482dc.png,CO,,,4,merge
Chaise curvy Sofa,15824454607021855053,3290000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestro sofá cómodo y disruptivo que combina la comodidad de un sofá con la versatilidad de una poltrona extendida. Su forma ergonómica asegura una postura relajada, ideal para cualquier espacio. Fabricado con materiales de alta calidad para durar en áreas de alto tráfico.",https://www.mistdesignco.com/sofa-comodo-chaise-curvy-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/688db957-b2a6-42f6-97a7-18610f8237c9.png,CO,,,0,merge
Lounge Waves,7036211451510173384,3660000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestro sofá modular inspirado en el movimiento de las olas. Con un diseño bajo y costura contrastada, es perfecto para añadir un toque sofisticado y funcional a cualquier espacio moderno.",https://www.mistdesignco.com/lounge-waves-sofa-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/c47288d4-d47f-4bfe-9c96-3fb1b67968f0.png,CO,,,3,merge
Loungy Chair,12733667588541604910,1245000.00 COP,nuevo,en stock,online,CO,es,"Descubre la fusión perfecta entre el diseño de mediados de siglo y la modernidad. Con estructura de hierro y materiales naturales, transforma tu espacio en un rincón único, ideal para lectura y descanso.",https://www.mistdesignco.com/diseno-de-mediados-de-siglo-loungy-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/69f58e53-6887-4a0a-9185-5d1daebba5aa.png,CO,5.0,1.0,0,merge
Cantilever Chair,14404884965542181244,1090000.00 COP,nuevo,en stock,online,CO,es,"Descubre la cantilever chair, un tributo a la arquitectura moderna y el diseño de vanguardia. Su estructura en voladizo desafía la gravedad, ofreciendo una sensación de suspensión y ligereza visual inigualable. Ideal para quienes buscan confort y estilo.",https://www.mistdesignco.com/cantilever-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/f29e822b-47ea-4556-b839-61c695e98789.png,CO,,,5,merge
Totem Balance,5486206840480565534,1703000.00 COP,nuevo,en stock,online,CO,es,Descubre nuestra estación de alimentación elevada que combina elegancia y un diseño equilibrado para mejorar la digestión y la postura cervical de tu mascota. Incluye recipientes de acero inoxidable sobre una base de madera maciza tratada contra la humedad.,https://www.mistdesignco.com/estacion-de-alimentacion-elevada-totem-balance,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/0f55aa2a-40be-486c-9d08-00c425d58364.png,CO,,,3,merge
Modular Chaise,30554533809863134,4306000.00 COP,nuevo,en stock,online,CO,es,"Descubre el chaise modular, el complemento ideal para configuraciones personalizadas. Con acabados de alta costura, ofrece una superficie de descanso ergonómica perfecta para espacios reducidos.",https://www.mistdesignco.com/chaise-modular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9489f52b-fd91-4ae5-a275-500cddc6cd39.png,CO,,,1,merge
Cama Nido,9500529608408577285,960000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestra cama circular de baja altura para mascotas, diseñada para facilitar su acceso. Con base de madera de pino y un cojín central de alta densidad, es perfecta para hogares modernos que buscan bienestar animal y estilo.",https://www.mistdesignco.com/cama-circular,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/b8ddee50-1a66-4a61-981e-7f78809941e4.png,CO,,,3,merge
Pedestable,8803270646496393204,820000.00 COP,nuevo,en stock,online,CO,es,"Descubre nuestro mueble decorativo que actúa como un tótem escultórico. Con un diseño geométrico en madera, es la pieza central perfecta para realzar cualquier ambiente. Dale carácter a tu espacio con este exclusivo mueble.",https://www.mistdesignco.com/mueble-decorativo-pedestable,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/22a642d4-31e4-4f03-8925-b4bf003c9057.png,CO,,,1,merge
Ecrú Lamp,10253715785216630772,432000.00 COP,nuevo,en stock,online,CO,es,"Descubre la ecrú lamp, una pieza de acento que fusiona el minimalismo escultórico con la suavidad de la luz difusa. Perfecta para mesas auxiliares o de noche, su diseño de dos esferas en diferentes alturas ofrece un equilibrio visual excepcional.",https://www.mistdesignco.com/ecru-lamp,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/d468a252-0b5a-40f8-9c1d-3035bae351b7.png,CO,,,0,merge
Retro Waves Table,278708674381403430,1510000.00 COP,nuevo,en stock,online,CO,es,"Retro Waves Table : La estructura de esta mesa está definida por líneas sinuosas de hierro que fluyen de manera continua, eliminando ángulos rectos para aportar una sensación de dinamismo y suavidad a tu sala.Transparencia Elegante: El sobre de vidrio ahumado permite que la bas…",https://www.mistdesignco.com/retro-waves-table,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/bff9e46c-ffac-4b18-8c3a-f70152fdf2dc.png,CO,5.0,1.0,1,merge
June Lamp,1908745421992585184,1580000.00 COP,nuevo,en stock,online,CO,es,"Descubre la June Lamp, una lámpara de comedor que redefine la iluminación de techo con sus audaces curvas orgánicas. Sus tres brazos arqueados y esferas de luz flotantes crean un punto focal dramático y equilibrado, perfecto para cualquier espacio.",https://www.mistdesignco.com/june-lamp,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/dab3094f-f199-47f1-bf64-191fb07857f0.png,CO,,,0,merge
Muse Sofa,11707186326392453758,4554000.00 COP,nuevo,en stock,online,CO,es,"Descubre muebles minimalistas nuestra pieza escultórica con líneas orgánicas y curvas fluidas, perfecta para añadir dinamismo a tu salón. Su diseño envolvente y respaldo ergonómico aseguran comodidad y estilo vanguardista, ideal para ambientes modernos y minimalistas.",https://www.mistdesignco.com/muebles-minimalistas-muse-sofa,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/8bfeafb4-2bed-4c3d-b85f-0d790fafcb03.png,CO,,,2,merge
Retro Mirror,1269465837854609323,1270000.00 COP,nuevo,en stock,online,CO,es,"Descubre cómo este espejo de gran formato se convierte en una pieza arquitectónica esencial para tus accesorios de decoración. Con su marco de madera tallado y diseño fluido, expande tu espacio y añade un toque artístico único.",https://www.mistdesignco.com/espejo-de-gran-formato,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/b8b188fc-f9fd-421c-ba72-ada13b294ada.png,CO,,,0,merge
Comedor Lounge Mist,8255411023888400888,8560000.00 COP,nuevo,en stock,online,CO,es,"Comedor Lounge Mist – Colección Mid Century OutdoorDescripción GeneralEl Comedor Lounge Mist expande el universo de nuestra colección exterior hacia el confort absoluto de las zonas de descanso al aire libre. Manteniendo la identidad vanguardista del estilo mid-century, estas piezas de formato ba…",https://www.mistdesignco.com/comedor-lounge-mist-,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/93c1e20b-44b9-4e56-a684-d6179de07c5c.png,CO,,,21,merge
Retro Chair,16780289537457091863,2080000.00 COP,nuevo,en stock,online,CO,es,"La Retro Chair es la pieza definitiva para quienes buscan un equilibrio perfecto entre estética moderna y comodidad excepcional. Con una estructura de líneas curvas y una silueta minimalista, este sillón no solo es un mueble, sino una declaración de estilo para cualquier espacio interior.Caracte…",https://www.mistdesignco.com/retro-chair,https://cdn.zyrosite.com/cdn-ecommerce/store_01KHYQRWYTXY0H9PKGNAQVTEEF/assets/9adf9b24-ab3d-42e6-b471-7c6707190ea8.png,CO,,,7,merge
